Event.Date,Shape,Location,State,Country,Source,USA,
6/18/2016,Boomerang/V-Shaped ,South Barrington ,IL ,USA ,NUFORC,1,
6/17/2016,Boomerang/V-Shaped ,Kuna ,ID ,USA ,NUFORC,1,
5/30/2016,Boomerang/V-Shaped ,Lake Stevens ,WA ,USA ,NUFORC,1,
5/27/2016,Boomerang/V-Shaped ,Gerber ,CA ,USA ,NUFORC,1,
5/24/2016,Boomerang/V-Shaped ,Camdenton ,MO ,USA ,NUFORC,1,
5/21/2016,Boomerang/V-Shaped ,Ft. Lauderdale ,FL ,USA ,NUFORC,1,
4/26/2016,Boomerang/V-Shaped ,St. George ,UT ,USA ,NUFORC,1,
4/14/2016,Boomerang/V-Shaped ,White Plains ,MD ,USA ,NUFORC,1,
4/2/2016,Boomerang/V-Shaped ,Nampa ,ID ,USA ,NUFORC,1,
4/1/2016,Boomerang/V-Shaped ,St. Charles ,MO ,USA ,NUFORC,1,
3/15/2016,Boomerang/V-Shaped ,"Washington, D.C. ",DC ,USA ,NUFORC,1,
3/15/2016,Boomerang/V-Shaped ,Phoenix ,AZ ,USA ,NUFORC,1,
3/12/2016,Boomerang/V-Shaped ,St. Paul ,MN ,USA ,NUFORC,1,
3/5/2016,Boomerang/V-Shaped ,"Gage (I-10, Exit 67) ",NM ,USA ,NUFORC,1,
3/3/2016,Boomerang/V-Shaped ,Pine Bush ,NY ,USA ,NUFORC,1,
2/29/2016,Boomerang/V-Shaped ,Edwards ,CA ,USA ,NUFORC,1,
2/28/2016,Boomerang/V-Shaped ,Suffern ,NY ,USA ,NUFORC,1,
2/28/2016,Boomerang/V-Shaped ,Westminster ,CO ,USA ,NUFORC,1,
2/27/2016,Boomerang/V-Shaped ,Faribault ,MN ,USA ,NUFORC,1,
2/27/2016,Boomerang/V-Shaped ,Sioux City ,IA ,USA ,NUFORC,1,
2/10/2016,Boomerang/V-Shaped ,Watchung ,NJ ,USA ,NUFORC,1,
2/7/2016,Boomerang/V-Shaped ,Dewey ,AZ ,USA ,NUFORC,1,
1/29/2016,Boomerang/V-Shaped ,Lafayette ,LA ,USA ,NUFORC,1,
1/16/2016,Boomerang/V-Shaped ,Bend ,OR ,USA ,NUFORC,1,
1/13/2016,Boomerang/V-Shaped ,Maumelle ,AR ,USA ,NUFORC,1,
1/6/2016,Boomerang/V-Shaped ,Arlington/Marysville ,WA ,USA ,NUFORC,1,
1/5/2016,Boomerang/V-Shaped ,Windsor Heights ,IA ,USA ,NUFORC,1,
11/22/2015,Boomerang/V-Shaped ,Salem ,OH ,USA ,MUFON,1,
7/4/2015,Boomerang/V-Shaped ,Inman ,SC ,USA ,NUFORC,1,
3/17/2015,Boomerang/V-Shaped ,Grayslake ,IL ,USA ,NUFORC,1,
1/7/2012,Boomerang/V-Shaped ,Waianae ,HI ,USA ,MUFON,1,
3/13/1997,Boomerang/V-Shaped ,Peoria ,AZ ,USA ,NUFORC,1,
3/13/1997,Boomerang/V-Shaped ,Tucson ,AZ ,USA ,NUFORC,1,
6/30/1994,Boomerang/V-Shaped ,Prestonsburg ,KY ,USA ,NUFORC,1,
6/15/2016,Boomerang/V-Shaped ,Ingersoll ,ON ,Canada ,NUFORC,0,
5/1/2016,Boomerang/V-Shaped ,Gimli (Canada) ,MB ,Canada ,NUFORC,0,
1/27/2016,Boomerang/V-Shaped ,Mumbai ,,India ,NUFORC,0,
10/10/2014,Boomerang/V-Shaped ,Asker ,,Norway ,NUFORC,0,
7/19/2016,Cigar/Cylinder ,Phoenix ,AZ ,USA ,NUFORC,1,
7/18/2016,Cigar/Cylinder ,Mytle Beach ,SC ,USA ,NUFORC,1,
7/18/2016,Cigar/Cylinder ,Ash ,NC ,USA ,NUFORC,1,
7/17/2016,Cigar/Cylinder ,Huntingdon ,PA ,USA ,NUFORC,1,
7/15/2016,Cigar/Cylinder ,Tulare ,CA ,USA ,NUFORC,1,
7/14/2016,Cigar/Cylinder ,Burlington ,NJ ,USA ,NUFORC,1,
7/9/2016,Cigar/Cylinder ,Wilmington ,OH ,USA ,NUFORC,1,
7/9/2016,Cigar/Cylinder ,Oldsmar ,FL ,USA ,NUFORC,1,
7/9/2016,Cigar/Cylinder ,Saint Augustine ,FL ,USA ,NUFORC,1,
